molecule_chembl_id,canonical_smiles,standard_value,0
CHEMBL35482,COc1cccc(-c2cc(=O)c3ccccc3o2)c1N,2800.0,intermediate
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,2.5,active
CHEMBL361708,NC1=NC(=O)/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)N1,9.0,active
CHEMBL255465,NC1=N/C(=C2/CCNC(=O)c3[nH]ccc32)C(=O)N1,824.0,active
CHEMBL151430,Nc1nc(C2CCNC(=O)c3[nH]c(Br)c(Br)c32)c[nH]1,1288.0,intermediate
CHEMBL440356,O=C1CCNC(=O)c2[nH]c(Br)cc21,539.0,active
CHEMBL359106,NC1=N/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)C(=O)N1,6.0,active
CHEMBL75680,CCCCc1c(-c2ccc(O)cc2)[nH]c2nccnc12,22000.0,inactive
CHEMBL280074,Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc21,7000.0,intermediate
CHEMBL14762,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,14000.0,inactive
CHEMBL77155,CC(C)=CCNc1nc(N)nc2c1ncn2C(C)C,50000.0,inactive
CHEMBL332551,Nc1nc(C2=C3C(=Nc4ccccc43)C(=O)NCC2)c(O)[nH]1,89.0,active
CHEMBL259551,Nc1n[nH]c2nnc(-c3c(-c4ccccc4)nn4ccccc34)cc12,1900.0,intermediate
CHEMBL369976,Nc1nn(CCO)c2nnc(-c3c(-c4ccccc4)nn4ccccc34)cc12,5100.0,intermediate
CHEMBL199395,C=CCn1nc(N)c2cc(-c3c(-c4ccccc4)nn4ccccc34)nnc21,560.0,active
CHEMBL370379,Cn1nc(N)c2cc(-c3c(-c4ccccc4)nn4ccccc34)nnc21,1400.0,intermediate
CHEMBL383104,CCCCNC(=O)N1Cc2n[nH]c(NC(=O)Cc3ccc(N4CCCC4)cc3)c2C1,280.0,active
