,molecule_chembl_id,canonical_smiles,0,pIC50
0,CHEMBL35482,COc1cccc(-c2cc(=O)c3ccccc3o2)c1N,intermediate,5.552841968657781
1,CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,active,8.602059991327963
2,CHEMBL361708,NC1=NC(=O)/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)N1,active,8.045757490560675
3,CHEMBL255465,NC1=N/C(=C2/CCNC(=O)c3[nH]ccc32)C(=O)N1,active,6.084072788302884
4,CHEMBL151430,Nc1nc(C2CCNC(=O)c3[nH]c(Br)c(Br)c32)c[nH]1,intermediate,5.890084136976206
5,CHEMBL440356,O=C1CCNC(=O)c2[nH]c(Br)cc21,active,6.268411234813261
6,CHEMBL359106,NC1=N/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)C(=O)N1,active,8.221848749616356
7,CHEMBL75680,CCCCc1c(-c2ccc(O)cc2)[nH]c2nccnc12,inactive,4.657577319177793
8,CHEMBL280074,Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc21,intermediate,5.154901959985743
9,CHEMBL14762,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,inactive,4.853871964321762
10,CHEMBL77155,CC(C)=CCNc1nc(N)nc2c1ncn2C(C)C,inactive,4.301029995663981
11,CHEMBL332551,Nc1nc(C2=C3C(=Nc4ccccc43)C(=O)NCC2)c(O)[nH]1,active,7.050609993355087
12,CHEMBL259551,Nc1n[nH]c2nnc(-c3c(-c4ccccc4)nn4ccccc34)cc12,intermediate,5.721246399047171
13,CHEMBL369976,Nc1nn(CCO)c2nnc(-c3c(-c4ccccc4)nn4ccccc34)cc12,intermediate,5.292429823902063
14,CHEMBL199395,C=CCn1nc(N)c2cc(-c3c(-c4ccccc4)nn4ccccc34)nnc21,active,6.251811972993799
15,CHEMBL370379,Cn1nc(N)c2cc(-c3c(-c4ccccc4)nn4ccccc34)nnc21,intermediate,5.853871964321762
